SiteName,Latitude,Longitude
Hamadi Buri,11.5247008490002,41.55150000000003
Mego,11.506900847647659,41.60970000000004
Shahi Bet,11.52220084881023,41.56030000000004
Ayboyta,11.665700859720898,41.369200000000035
Berga,11.532700849608121,41.489100000000064
Hasnahulbi,11.57410085275483,41.41330000000005
Omer dora,11.56290085190347,41.39250000000004
Dilbealu,11.634700857362807,41.24580000000003
Fartie,11.746000865831865,41.12230000000005
Galibuda,11.752200866303902,41.09020000000004
Gera,12.060200889782434,41.925200000000075
Aderash,11.500000847123452,41.343900000000076
Ardakoba,11.191400823706715,41.16530000000006
Erole,11.313400832957267,41.34490000000005
Erugageta,11.32130083355659,41.21790000000004
Garada,11.516800848399896,41.32960000000003
Gawule,11.237200827178395,41.29600000000005
Korari,11.146900820334787,41.33880000000004
Sabalu,11.178700822744265,41.18050000000005
Bategura,12.511000924257665,41.13280000000003
Galaha,11.433000842034536,40.91710000000006
Marto,11.85750087432402,40.18420000000003
Erga Alayito,12.288400907217378,40.418300000000045
Naftu,12.4349009184284,39.96770000000004
Deraele,9.270900679188824,40.43240000000003
Dereibi,9.022100660606515,40.246300000000076
Derogersa,9.334800683966186,40.28720000000004
Kirensa,9.220100675392288,40.13530000000003
Dankar,9.271800679256097,40.05840000000006
Komayirged,9.21220067480198,40.03090000000003
Gumeruk gereba,8.979500657427792,40.152900000000045
Lalaba,9.483200695068854,40.10760000000005
Segento,9.307500681924937,40.05560000000003
Alidabeli,9.827900720900491,40.516100000000044
Adoda Rifo,10.159800745831115,40.70500000000005
Af'asin Gefen,10.13490074395873,40.70070000000004
Ambuli,10.298500756266925,40.725100000000054
Adawa Hassni Kore,9.441700691962867,40.36990000000003
Debole,9.682900710026907,40.44550000000004
Gudale Gedamaytu,9.698700711211188,40.44730000000004
Kusura,9.53620069903673,40.391500000000065
Rebada,9.595800703500396,40.40450000000004
Galgala,10.62250078068594,40.41130000000004
Goroyyademum,9.975000731942677,40.140600000000056
Maderale,10.908900802320344,40.16900000000003
Bieda gubi,13.384700991469678,39.84420000000006
Lawade,13.398900992566489,39.85420000000005
Baraira,13.711601016757953,39.98630000000003
Folhoh Amo,13.849101027418397,40.00610000000006
Sodomta,12.823200948213401,40.98930000000007
Admorug,14.517701079462102,40.12400000000008
Bada Admorug,14.518901079555807,40.11600000000004
Lakora,13.252800981288267,40.00170000000003
Dirma,12.459200920289403,39.973900000000064
Bole Mesjid,10.965000806563577,36.50230000000005
Forenk,10.961500806298817,36.50770000000006
Sertia Center,12.484300922212052,37.03880000000004
Kebero Meda,12.551900927392248,37.41620000000006
Abba Libanos Center,10.26110075345192,37.65590000000003
Mariyam Minch,10.871900799522718,38.27270000000004
Golmasa,12.998000961655539,37.781900000000064
Youth Center,10.064500738666702,38.98530000000005
Timbaho Monopol,10.336700759142962,39.950600000000065
Andegna Police Tabya,9.687200710349208,39.543900000000065
Betemengist,9.678700709712082,39.53240000000005
China Camp,9.641700706939266,39.508500000000026
Kebele 03 Adarash,9.680000709809534,39.53370000000007
Weyinshet Fabrica,9.662800708520441,39.503800000000076
Medebit,10.246100752323132,39.41360000000003
Tosign Afaf,10.14110074442489,39.78970000000004
Sefere Selam,8.928100653593557,39.41810000000004
Wetat Maekel,9.999600733790428,39.89590000000004
Girana,11.569600852412737,39.72070000000008
Wuha limat,11.844500873333466,39.73840000000008
Military Camp,11.674200860367545,39.658100000000054
